DatasetID,CommitId,tentative_type,status,hub,renamed_to,evidence_file
Anthropic/EconomicIndex,1779b5efe00577781868a4306206e4432e1ab45c,cleaning,archived,reachable (HTTP 200),,Anthropic__EconomicIndex__1779b5efe0.txt
joonhok-exo-ai/korean_law_open_data_precedents,5de8f553aa318b35fdd58d8a184a8214f4edaedc,deduplication,archived,reachable (HTTP 200),,joonhok-exo-ai__korean_law_open_data_precedents__5de8f553aa.txt
Rapidata/multilingual-llm-jokes-4o-claude-gemini,f533da0853ee73af062a27f37aad0e2537aca811,merge,archived,reachable (HTTP 200),,Rapidata__multilingual-llm-jokes-4o-claude-gemini__f533da0853.txt
Abdulahad79/Crop_Classifiacation_Pakistan,aa41ce587e081f13d27bea7ec52b963606944831,cleaning,archived,reachable (HTTP 200),,Abdulahad79__Crop_Classifiacation_Pakistan__aa41ce587e.txt
dragosnicolae555/RoITD,53bfe0b3ec4b22015ae84ff20c436d8934f3f3b9,cleaning,archived,reachable (HTTP 200),,dragosnicolae555__RoITD__53bfe0b3ec.txt
dragosnicolae555/RoITD,16c71afd4978870f481c62e7d2cc7ec10ae4c725,cleaning,archived,reachable (HTTP 200),,dragosnicolae555__RoITD__16c71afd49.txt
sheryylli/utr_total_reads,553ad503c3a9589c90efce086189248adf677c8f,column/field add-remove,archived,reachable (HTTP 200),,sheryylli__utr_total_reads__553ad503c3.txt
valurank/12-factor,1a3b925ce86cad7290111b72f36ff0d6889db6da,normalize/standardize/encode,archived,reachable (HTTP 200),,valurank__12-factor__1a3b925ce8.txt
valurank/12-factor,701e849100438fd9c700256f9f600ea5919438f4,normalize/standardize/encode,archived,reachable (HTTP 200),,valurank__12-factor__701e849100.txt
arize-ai/movie_reviews_with_context_drift,8d58224ebb5b0723f8c19dd51cec33bdb9073fe8,merge,archived,reachable (HTTP 200),,arize-ai__movie_reviews_with_context_drift__8d58224ebb.txt
reallycarlaost/emobank_w,0d868f47ebc65dd7b446363d88ba01feea7c91a0,normalize/standardize/encode,archived,reachable (HTTP 200),,reallycarlaost__emobank_w__0d868f47eb.txt
reallycarlaost/emobank_w,f8969c9edd8de8f92778888b5a9f056d8760eee1,normalize/standardize/encode,archived,reachable (HTTP 200),,reallycarlaost__emobank_w__f8969c9edd.txt
scikit-learn/student-alcohol-consumption,beb7bb2c4e1b6245320773dccbe5e5a281aff9ed,merge,archived,reachable (HTTP 200),,scikit-learn__student-alcohol-consumption__beb7bb2c4e.txt
Maxmioti/GDRP-fines,c7c3c3260246c177e4f55d87887d1e774a9511ec,cleaning,archived,reachable (HTTP 200),,Maxmioti__GDRP-fines__c7c3c32602.txt
Johny201/gdpr-articles,b0cba20bcd8406693a3069661b7527af8277739b,cleaning,archived,reachable (HTTP 200),,Johny201__gdpr-articles__b0cba20bcd.txt
AI-Growth-Lab/patents_claims_1.5m_traim_test,0107bfd1924b62a58668c1e9f19a75467e004ae0,deduplication,archived,reachable (HTTP 200),,AI-Growth-Lab__patents_claims_1.5m_traim_test__0107bfd192.txt
AI-Growth-Lab/patents_claims_1.5m_traim_test,e0fb5e0423988f248e1938d752170f97a6714b4f,deduplication,archived,reachable (HTTP 200),,AI-Growth-Lab__patents_claims_1.5m_traim_test__e0fb5e0423.txt
shahadalkhalifa/Crypto_Whitepaper_Labeled,45f13f19ffa2cbd7e0c78a7a32e44391dbe69791,cleaning,archived,reachable (HTTP 200),,shahadalkhalifa__Crypto_Whitepaper_Labeled__45f13f19ff.txt
